Surat Tanda Berizin/Terdaftar,Nama Platform,Website,Nama Perusahaan,Tanggal,Jenis
S-384/NB.213/2018,Danasyariah,http://danasyariah.id,PT Dana Syariah Indonesia,08 Juni 2018,Terdaftar
S-385/NB.213/2018,Telefin,http://telefin.co.id,PT Solusi Finansial Inklusif,08 Juni 2018,Terdaftar
S-386/NB.213/2018,Modalrakyat,http://modalrakyat.id,PT Modal Rakyat Indonesia,08 Juni 2018,Terdaftar
S-387/NB.213/2018,Kawancicil,http://kawancicil.co.id,PT Kawan Cicil Teknologi Utama,08 Juni 2018,Terdaftar
S-388/NB.213/2018,Sanders One Stop Solution,http://sanders.co.id,PT Satustop Finansial Solusi,08 Juni 2018,Terdaftar
S-389/NB.213/2018,Kreditcepat,http://kreditcepat.id,PT Alfa Finance Indonesia,08 Juni 2018,Terdaftar
S-584/NB.213/2018,Uangme,http://uangme.id,PT Uangme Fintek Indonesia,31 Juli 2018,Terdaftar
S-586/NB.213/2018,Pinjam Duit,http://pinjamduit.co.id,PT Stanford Teknologi Indonesia,31 Juli 2018,Terdaftar
S-587/NB.213/2018,Pinjam Yuk,http://pinjamyuk.co.id,PT Kuai Kuai Tech Indonesia,31 Juli 2018,Terdaftar
S-588/NB.213/2018,Pinjam Modal,http://pinjammodal.id,PT Finansial Integrasi Teknologi,31 Juli 2018,Terdaftar
S-589/NB.213/2018,Julo,http://julo.co.id,PT Julo Teknologi Indonesia,31 Juli 2018,Terdaftar
S-590/NB.213/2018,Easy Cash,http://indo.geteasycash.asia,PT Indonesia Fintopia Technology,31 Juli 2018,Terdaftar
S-626/NB.213/2018,Maucash,http://maucash.id,PT Astra Welab Digital Artha,31 Agustus 2018,Terdaftar
S-627/NB.213/2018,RupiahOne,http://rupiahone.co.id,PT Finlink Technology Indonesia,31 Agustus 2018,Terdaftar
S-628/NB.213/2018,Pohon Dana,http://pohondana.id,PT Pohon Dana Indonesia,31 Agustus 2018,Terdaftar
S-688/NB.213/2018,Dana Cita,http://danacita.co.id,PT Inclusive Finance Group,21 September 2018,Terdaftar
S-700/NB.213/2018,DANAdidik,http://danadidik.id,PT Pasar Dana Teknologi,21 September 2018,Terdaftar
S-715/NB.213/2018,TrustIQ,http://trustiq.id,PT Trust Teknologi Finansial,27 September 2018,Terdaftar
S-960/NB.213/2018,Danai,http://danai.id,PT Adiwisista Finansial Teknologi,16 Oktober 2018,Terdaftar
S-961/NB.213/2018,Pinduit,http://pinduit.id,PT Pinduit Teknologi Indonesia,16 Oktober 2018,Terdaftar
S-962/NB.213/2018,Pinjam,http://smartcapital.id,PT Pinjam Meminjam Global,16 Oktober 2018,Terdaftar
S-1059/NB.213/2018,Danamart,http://danamart.id,PT Dana Aguna Nusantara,28 November 2018,Terdaftar
S-1060/NB.213/2018,SAMAKITA,http://samakita.co.id,PT Sejahtera Sama Kita,28 November 2018,Terdaftar
S-1061/NB.213/2018,Saya Modalin,http://sayamodalin.co.id,PT Minitech Finance Indonesia,28 November 2018,Terdaftar
S-1073/NB.213/2018,PLAZA PINJAMAN,http://plazapinjaman.id,PT Nusantara Digital Techno,07 Desember 2018,Terdaftar
